Para ver si podemos eliminar el precalibrado de offset en el codigo, por si ya esta puesto el guante.

Calibraciones cortas (30000 muestras, 5 minutos):
12_4: 	0.30	-0.43	-0.50
13_4:	0.39	-0.36	-0.39
14_4:	0.36	-0.38	-0.41
15_4:	0.37	-0.34	-0.38
19_4:	0.46	-0.31	-0.32
20_4:	0.43	-0.32	-0.32
21_4:	0.31	-0.45	-0.38
22_4:	0.42	-0.39	-0.37
23_4:	0.42	-0.34	-0.38
24_4:	0.38	-0.37	-0.41
27_4:	0.41	-0.31	-0.39
29_4:	0.42	-0.28	-0.33
30_4:	0.39	-0.30	-0.35
2_5:	0.41	-0.30	-0.37
4_5:	0.38	-0.31	-0.31
5_5:	0.35	-0.35	-0.34
7_5:	0.42	-0.32	-0.30

Calibraciones largas (190000, 30 minutos):
14_4:	0.39	-0.32	-0.42
15_4	0.38	-0.35	-0.37
19_4:	0.41	-0.35	-0.35
20_4:	0.46	-0.31	-0.32
21_4:	0.37	-0.38	-0.36
22_4:	0.40	-0.37	-0.40
23_4:	0.44	-0.33	-0.33
24_4:	0.38	-0.33	-0.37
26_4:	0.38	-0.34	-0.41
27_4:	0.36	-0.33	-0.37
29_4:	0.43	-0.30	-0.31
30_4:	0.40	-0.30	-0.36
1_5:	0.36	-0.35	-0.44
2_5:	0.38	-0.36	-0.36
4_5:	0.35	-0.34	-0.34
5_5:	0.36	-0.36	-0.34
7_5:	0.43	-0.31	-0.30
